Host ID,Host Lat,Host Lng,TOWN,NAME,COUNTRY,Address1,Postcode,PNO,NSF,Branch IDs,Venue ID,Venue Name,Venue Distance,Venue Address,Venue Lat,Venue Lng,Venue Category
TM7939,51.4106283,-0.3025727,KINGSTON,KINGSTON UPON THAMES,ENG,40 Clarence Street,KT1 1NR,7017,2097,TM7939,4ea7f0d7b8f7ff211aa69309,JD Sports,8775,"['Unit 2 Tandem Centre Top Of Church Rd (Tandem Way)', 'Colliers Wood', 'Greater London', 'SW19 2TY', 'United Kingdom']",51.414558236308686,-0.17633914947509766,Sporting Goods Shop
TM7939,51.4106283,-0.3025727,KINGSTON,KINGSTON UPON THAMES,ENG,40 Clarence Street,KT1 1NR,7017,2097,TM7939,4c0f573a2466a5931e797a21,JD Sports,6833,"['Unit 3 15-29 The Broadway', 'Wimbledon', 'Greater London', 'SW19 1PS', 'United Kingdom']",51.42035259651733,-0.20538747310638428,Sporting Goods Shop
TM7939,51.4106283,-0.3025727,KINGSTON,KINGSTON UPON THAMES,ENG,40 Clarence Street,KT1 1NR,7017,2097,TM7939,5725e6fe498e259d1c1d7b27,JD Sports,8925,"['60 High Street', 'Epsom', 'Surrey', 'KT19 8AJ', 'United Kingdom']",51.33364326384707,-0.26668936014175415,Sporting Goods Shop
TM7939,51.4106283,-0.3025727,KINGSTON,KINGSTON UPON THAMES,ENG,40 Clarence Street,KT1 1NR,7017,2097,TM7939,5a8ecf5c3d479176b9778d52,JD Sports,9105,"['163 High Street', 'Sutton', 'Greater London', 'SM1 1JN', 'United Kingdom']",51.36485115254712,-0.19395321607589722,Sporting Goods Shop
TM8134,55.8638626676302,-4.25318293851664,GLASGOW,GLASGOW BUCHANAN ST,SCO,The George Unit 1& 2,G1 2NG,404,8404,"TM8134,TS2876",4fef1b16e4b09cfafdd1dedb,JD Sports,7072,"['Unit 58/59, Lower Level, Braehead Sc (Kings Inch Rd)', 'Glasgow City', 'G51 4BP', 'United Kingdom']",55.87587199062784,-4.364382999999975,Sporting Goods Shop
TM8134,55.8638626676302,-4.25318293851664,GLASGOW,GLASGOW BUCHANAN ST,SCO,The George Unit 1& 2,G1 2NG,404,8404,"TM8134,TS2876",4bf93d4f8d30d13ae8da0118,JD Sports,7185,"['Unit 13 Glasgow Fort Shopping Park', 'Glasgow', 'Glasgow City', 'G34 9DL', 'United Kingdom']",55.87176407753276,-4.139003932540845,Sporting Goods Shop
TM8134,55.8638626676302,-4.25318293851664,GLASGOW,GLASGOW BUCHANAN ST,SCO,The George Unit 1& 2,G1 2NG,404,8404,"TM8134,TS2876",5182b87a498e9f19eac5d907,JD Sports,684,"['87-91 Argyle Street (St Enoch Shopping Centre)', 'Glasgow', 'Glasgow City', 'G2 8BJ', 'United Kingdom']",55.85771785989028,-4.252762906745943,Sporting Goods Shop
TM8134,55.8638626676302,-4.25318293851664,GLASGOW,GLASGOW BUCHANAN ST,SCO,The George Unit 1& 2,G1 2NG,404,8404,"TM8134,TS2876",5a8ecd4a5a2c9117b2eca903,JD Sports,10478,"['Unit 79 Sylvania Way', 'Clydebank', 'West Dunbartonshire', 'G81 2RR', 'United Kingdom']",55.90499338841441,-4.404138922691345,Sporting Goods Shop
TM8134,55.8638626676302,-4.25318293851664,GLASGOW,GLASGOW BUCHANAN ST,SCO,The George Unit 1& 2,G1 2NG,404,8404,"TM8134,TS2876",55eaf05f498e8edb05e64cbc,JD Sports,7300,"['Unit 65 Silverburn Centre, Barrhead Road (Barrhead Rd)', 'Glasgow', 'Glasgow City', 'G53 6AG', 'United Kingdom']",55.82106136560886,-4.3416836857795715,Sporting Goods Shop
TM8134,55.8638626676302,-4.25318293851664,GLASGOW,GLASGOW BUCHANAN ST,SCO,The George Unit 1& 2,G1 2NG,404,8404,"TM8134,TS2876",5cc0961aecb3ed002526ee0b,JD Sports,11293,"['Departure Lounge', 'Paisley', 'Renfrewshire', 'PA3', 'United Kingdom']",55.864865,-4.433959,Sporting Goods Shop
